airportCodeIATA,airportCodeICAO,countryCode,Latitude,Longitude,continentCode
MUC,EDDM,DE,48.35388889,11.78611111,EU
MVD,SUMU,UY,-34.83333333,-56.03333333,SA
MXP,LIMC,IT,45.63,8.723055556,EU
NBO,HKJK,KE,-1.316666667,36.93083333,AF
NCE,LFMN,FR,43.66388889,7.2175,EU
NCL,EGNT,GB,55.05,1.67,EU
NDJ,FTTJ,TD,12.135,15.03611111,AF
NGO,RJGG,JP,34.85527778,136.8083333,AS
NKG,ZSNJ,CNE,31.99527778,118.8116667,AS
NRT,RJAA,JP,35.76388889,140.3911111,AS
NTE,LFRS,FR,47.15833333,-1.609722222,EU
OAK,KOAK,USSW,37.72361111,-122.2155556,NA
OKA,ROAH,JP,26.2,127.65,AS
ONT,KONT,USSW,34.05722222,-117.6080556,NA
OPO,LPPR,PT,41.16777778,-8.666666667,EU
ORD,KORD,USNC,41.97805556,-87.90611111,NA
ORY,LFPO,FR,48.72888889,2.357222222,EU
OSL,ENGM,NO,60.2,11.08333333,EU
OTP,LROP,RO,44.56666667,26.1,EU
OUA,DFFD,BF,12.35277778,-1.512777778,AF
OVB,UNNT,RU,55.01666667,82.61666667,AS
PBM,SMJP,SR,5.451388889,-55.19111111,SA
PDX,KPDX,USNW,45.58916667,-122.595,NA
PEK,ZBAA,CNN,40.06666667,116.6,AS
PEN,WMKP,MY,5.289722222,100.2725,AS
PER,YPPH,AU,-31.93166667,115.9683333,OC
PEW,OPPS,PK,34,71.5,AS
PHC,DNPO,NG,5.016666667,6.95,AF
PHL,KPHL,USNE,39.87166667,-75.24222222,NA
PHX,KPHX,USSC,33.48,-112,NA
PIK,EGPK,GB,55.50305556,-4.575555556,EU
PNH,VDPP,KH,11.54611111,104.8477778,AS
PNR,FCPP,CG,-4.810555556,11.88583333,AF
POA,SBPA,BR,-29.99333333,-51.17083333,SA
POM,AYPY,PG,-9.443333333,147.22,OC
POS,TTPP,TT,10.6,-61.35,SA
PPT,NTAA,PF,-17.54722222,-149.6138889,SA
PRG,LKPR,CZ,50.10083333,14.26,EU
PTP,TFFR,GP,16.2675,-61.52638889,SA
PTY,MPTO,PA,9.083333333,-79.38333333,SA
PUJ,MDPC,DO,18.56666667,-68.38333333,SA
PUS,RKPK,KR,35.17083333,129.1305556,AS
PVG,ZSPD,CNE,31.15,121.7833333,AS
RDU,KRDU,USSE,35.85,-78.75,NA
RFD,KRFD,USNC,42.2,-89.1,NA
RGN,VYYY,MM,16.90638889,96.13888889,AS
RIX,EVRA,LV,56.925,23.97222222,EU
RUH,OERK,SA,24.96666667,46.7,AS
RUN,FMEE,RE,-20.87722222,55.52138889,SA
SAH,OYSN,YE,15.47861111,44.21916667,AS
SAL,MSLP,SV,13.69361111,-89.11805556,SA
SAN,KSAN,USSW,32.73277778,-117.1872222,NA
SAP,MHLM,HN,15.45277778,-87.92361111,SA
SAT,KSAT,USSC,29.5,98.48,NA
SAW,LTFJ,TR,40.89944444,29.30916667,EU
SCL,SCEL,CL,-33.38333333,-70.78333333,SA
SDF,KSDF,USNC,38.17972222,-85.73861111,NA
SDQ,MDSD,DO,18.42916667,-69.66916667,SA
SEA,KSEA,USNW,47.44722222,-122.3055556,NA
SEZ,FSIA,SC,-4.672222222,55.5225,AS
SFO,KSFO,USSW,37.61944444,-122.3727778,NA
SGN,VVTS,VN,10.81722222,106.6577778,AS
SHA,ZSSS,CNE,31.2,121.3333333,AS
SHE,ZYTX,CNN,41.81666667,123.5,AS
SHJ,OMSJ,AE,25.32861111,55.51722222,AS
SIN,WSSS,SG,1.361388889,103.9888889,AS
SJC,KSJC,USSW,37.36111111,-121.9255556,NA
SJO,MROC,CR,10,-84.2,SA
SNN,EINN,IE,52.70194444,-8.924722222,EU
SOF,LBSF,BG,42.695,23.40833333,EU
SSA,SBSV,BR,-12.91666667,-38.33333333,SA
SSG,FGSL,GQ,3.752777778,8.705555556,AF
STI,MDST,DO,19.46916667,-70.70027778,SA
STN,EGSS,GB,51.88333333,0.233333333,EU
STR,EDDS,DE,48.69,9.221944444,EU
SUB,WARR,ID,-7.218055556,112.7208333,AS
SVO,UUEE,RU,55.98333333,37.41666667,AS
SVX,USSS,RU,56.73333333,60.8,AS
SYD,YSSY,AU,-33.94416667,151.1758333,OC
SYZ,OISS,IR,29.54027778,52.59083333,AS
SZB,WMSA,MY,3.133333333,101.55,AS
SZX,ZGSZ,CNS,22.56666667,113.9333333,AS
TAO,ZSQD,CNN,36.1,120.3166667,AS
TAS,UTTT,UZ,41.25,69.28333333,AS
TBS,UGTB,GE,41.66666667,44.95,EU
THR,OIII,IR,35.68972222,51.31583333,AS
TLL,EETN,EE,59.41333333,24.8325,EU
TLS,LFBO,FR,43.63027778,1.365,EU
TLV,LLBG,IL,32.01222222,34.8825,AS
TNR,FMMI,MG,-18.8,47.48333333,AF
TPA,KTPA,USSE,27.97305556,-82.53527778,NA
TPE,RCTP,TW,25.07111111,121.5436111,AS
TRV,VOTV,IN,8.479722222,76.91972222,AS
TSA,RCSS,TW,25.06666667,121.5166667,AS
TSN,ZBTJ,CNN,39.11888889,117.3469444,AS
TUN,DTTA,TN,36.8525,10.22944444,AF
TXL,EDDT,DE,52.56055556,13.29555556,EU
TZX,LTCG,TR,40.99861111,39.77638889,EU
