,wt0,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,Total Revenue,target
72,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,70.0
73,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,32.0
74,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,44.0
75,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,47.0
76,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,32.0
77,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,68.0
78,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,38.0
79,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,44.0
80,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,32.0
81,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,54.0
82,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,72.0
83,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,32.0
84,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,59.0
85,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,69.0
86,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,55.0
87,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,32.0
88,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,33.0
89,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,34.0
90,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,32.0
91,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,33.0
92,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
93,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,51.0
94,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,53.0
95,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,77.0
96,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,68.0
97,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,57.0
98,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
99,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,64.0
100,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,61.0
101,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,32.0
102,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,38.0
103,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,49.0
104,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,32.0
105,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,32.0
106,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,58.0
107,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,32.0
108,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,32.0
109,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,38.0
110,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,60.0
111,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,61.0
112,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,38.0
113,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,48.0
114,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,72.0
115,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,34.0
116,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,70.0
117,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,32.0
118,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,32.0
119,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,70.0
120,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,50.0
121,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,60.0
